split,canonical_gloss,raw_gloss,participant,video,top1,top1_confidence,top1_correct,top5,top5_correct
train,GOODBYE,BYE,P31,516342335411355-BYE.mp4,THEIR,0.43144765,False,THEIR|MOTHER|HIS_HER|HELLO|COMPANY,False
val,GOODBYE,BYE,P39,9710569622157019-BYE.mp4,ALSO,0.1451858,False,ALSO|WORK|WORKER|TAKE|LATE,False
val,GOODBYE,BYE,P26,2889010159260097-BYE.mp4,TAKE,0.11055663,False,TAKE|HIS_HER|THEIR|COMPANY|CHILD,False
test,GOODBYE,BYE,P49,2223181186410932-BYE.mp4,MOTHER,0.10809904,False,MOTHER|HIS_HER|SEARCH|THEIR|YOUR,False
test,GOODBYE,BYE,P35,5023793115629094-BYE.mp4,COMPANY,0.29151475,False,COMPANY|THEIR|DRINK|HELLO|SIGN,False
train,YOU,YOU,P31,2775935043696396-YOU.mp4,YOU,0.21389869,True,YOU|NEED|TELL|WHO|SAY,True
train,YOU,YOU,P11,6298308396800849-YOU.mp4,HE,0.20951708,False,HE|YOU|THEY|NEED|ASK,True
val,YOU,YOU,P39,35038040842137197-YOU.mp4,HOSPITAL,0.20794061,False,HOSPITAL|I|DAY|WORK|AFTERNOON,False
val,YOU,YOU,P21,19643383002170656-YOU.mp4,YOU,0.50260109,True,YOU|ASK|NEED|WHO|TWENTY,True
test,YOU,YOU,P48,2585581282288061-YOU.mp4,NO,0.23204194,False,NO|QUESTION|LOOK|CATCH|ASK,False
test,YOU,YOU,P22,7900211756909432-YOU.mp4,ELEVEN,0.03696866,False,ELEVEN|THINK|WHY|DRIVE_CAR|I,False
train,WHAT,WHAT2,P16,8979365940146831-WHAT 1.mp4,WANT,0.23080009,False,WANT|WHAT|NOW|WAIT|FIFTEEN,True
train,WHAT,WHAT1,P37,8405493387581946-WHAT 2.mp4,DRIVE_CAR,0.07935524,False,DRIVE_CAR|DESIGN|READ|PROBLEM|PULL,False
val,WHAT,WHAT2,P21,11792300756428031-WHAT 1.mp4,WHAT,0.87249732,True,WHAT|WANT|MANY|LOUD|OPEN,True
val,WHAT,W.H.A.T,P39,8109633899553168-W.H.A.T.mp4,ELEVEN,0.05577101,False,ELEVEN|DRIVE_CAR|DO|NOW|WRONG,False
test,WHAT,WHAT1,P18,8880006166221515-WHAT 2.mp4,PAY,0.19811338,False,PAY|PULL|TRY|WRITE|STUDENT,False
test,WHAT,W.H.A.T,P9,5811270308098746-W.H.A.T.mp4,ELEVEN,0.5576095,False,ELEVEN|ONE|EAT_FOOD|DO|UNDERSTAND,False
train,HELP,HELP,P20,07603691172028904-HELP.mp4,HELP,0.70364237,True,HELP|STOP|COUNTRY|LOVE|EACH,True
train,HELP,HELP,P30,5574926687456125-HELP.mp4,HELP,0.41778851,True,HELP|STOP|RECEIVE|SHARE|EACH,True
val,HELP,HELP,P21,6037747479203328-HELP.mp4,HELP,0.25714707,True,HELP|STOP|MONEY|NEW|WHAT,True
val,HELP,HELP,P5,8534077485600235-HELP.mp4,HELP,0.89691985,True,HELP|LOVE|HOW|EACH|MAKE_CREATE,True
test,HELP,HELP,P49,3000270038189985-HELP.mp4,STOP,0.15818378,False,STOP|SHARE|HELP|EACH|RECEIVE,True
test,HELP,HELP,P48,7353034835882497-HELP.mp4,HELP,0.21666752,True,HELP|ALL|COMPUTER|GOOD|EASY,True
train,LOVE,LOVE,P27,13717057044445125-LOVE.mp4,LOVE,0.89470458,True,LOVE|HELP|FAST|FREE|HOW,True
train,LOVE,LOVE,P29,4841662498241295-LOVE.mp4,HELP,0.18720022,False,HELP|MAKE_CREATE|LOVE|CATCH|RECEIVE,True
val,LOVE,LOVE,P5,23909248218883028-LOVE.mp4,LOVE,0.861889,True,LOVE|HELP|HOW|MAKE_CREATE|WEEK,True
val,LOVE,LOVE,P21,7300348171338833-LOVE.mp4,LOVE,0.8862887,True,LOVE|HELP|HOW|FAST|COUNTRY,True
test,LOVE,LOVE,P18,44419065960377635-LOVE.mp4,LOVE,0.61352259,True,LOVE|HELP|MAKE_CREATE|HOW|COUNTRY,True
test,LOVE,LOVE,P15,4243347380620037-LOVE.mp4,SLEEP,0.11186167,False,SLEEP|GOOD|COUNTRY|AFTER|LOSE,False
train,COME,COME,P31,45473820037956725-COME.mp4,COOK,0.04191679,False,COOK|CLEAN|STUDENT|P|CARRY,False
train,COME,COME,P16,5774324878258876-COME.mp4,WRONG,0.651636,False,WRONG|PLAY|DRIVE_CAR|FIFTEEN|PHONE,False
val,COME,COME,P26,24064885357062593-COME.mp4,DIRTY,0.02003611,False,DIRTY|EAT_FOOD|O|NIGHT|AFTER,False
val,COME,COME,P21,2294900578606751-COME.mp4,PAST,0.16809732,False,PAST|EAT_FOOD|GOOD|SLEEP|WRONG,False
test,COME,COME,P35,5170125336404756-COME.mp4,KNOW,0.25954798,False,KNOW|EAT_FOOD|GOOD|SLEEP|BOSS,False
test,COME,COME,P49,7403167170909308-COME.mp4,PAST,0.09508856,False,PAST|OUR|EAT_FOOD|MY|GOODBYE,False
train,GOOD,GOOD,P33,27179636245697747-GOOD.mp4,GOOD,0.29202223,True,GOOD|MY|DIRTY|NEW|HAPPY,True
train,GOOD,GOOD,P4,04439224802145447-GOOD.mp4,GOOD,0.10939348,True,GOOD|MY|HAPPY|FIFTEEN|FIVE,True
val,GOOD,GOOD,P39,4843579408025589-GOOD.mp4,GOOD,0.33308595,True,GOOD|MY|NEW|DIRTY|OUR,True
val,GOOD,GOOD,P26,25290749191933815-GOOD.mp4,GOOD,0.60035455,True,GOOD|FIVE|THANKYOU|MY|HAPPY,True
test,GOOD,GOOD,P35,008087702450223277-GOOD.mp4,GOOD,0.45055282,True,GOOD|MORNING|SLEEP|THANKYOU|BAD,True
test,GOOD,GOOD,P15,22413626372355933-GOOD.mp4,GOOD,0.16718943,True,GOOD|EASY|ALL|BODY|NOW,True
train,SCHOOL,SCHOOL,P40,3380520143388104-SCHOOL.mp4,SCHOOL,0.45127201,True,SCHOOL|COOK|MONEY|LOSE|LESS,True
train,SCHOOL,SCHOOL,P2,06483601782154702-SCHOOL.mp4,SCHOOL,0.08076403,True,SCHOOL|LOSE|LESS|CONFUSE|GOOD,True
val,SCHOOL,SCHOOL,P21,7861062216231951-SCHOOL.mp4,GOOD,0.097854,False,GOOD|MORNING|SCHOOL|HELP|LOSE,True
val,SCHOOL,SCHOOL,P26,02185976473813267-SCHOOL.mp4,SCHOOL,0.71217346,True,SCHOOL|BOOK|LOSE|DEVELOP|CLEAN,True
test,SCHOOL,SCHOOL,P35,8188942667223229-SCHOOL.mp4,STOP,0.59929562,False,STOP|LESS|NEW|MORNING|SHARE,False
test,SCHOOL,SCHOOL,P49,7977130285572864-SCHOOL.mp4,SCHOOL,0.06305356,True,SCHOOL|CLEAN|DESIGN|SOME|LOSE,True
train,HOSPITAL,HOSPITAL2,P50,5890664516839825-HOSPITAL 2.mp4,SIXTEEN,0.36505973,False,SIXTEEN|SEVENTEEN|OR|LOOK|DRINK,False
train,HOSPITAL,HOSPITAL1,P31,8842873768781858-HOSPITAL.mp4,DAY,0.19344568,False,DAY|MORNING|HELP|HOSPITAL|SCHOOL,True
val,HOSPITAL,HOSPITAL2,P21,41125949539634643-HOSPITAL 2.mp4,OR,0.12168995,False,OR|HEAR|HELLO|COMPANY|FOR,False
val,HOSPITAL,HOSPITAL1,P39,5851960225980641-HOSPITAL.mp4,HOSPITAL,0.91105342,True,HOSPITAL|LONG|CARRY|DIRTY|I,True
test,HOSPITAL,HOSPITAL1,P35,7921373203371331-HOSPITAL.mp4,LONG,0.69241881,False,LONG|HOSPITAL|WORK|WE|HAPPY,True
test,HOSPITAL,HOSPITAL2,P18,6346112014419762-HOSPITAL 2.mp4,LOOK,0.17307305,False,LOOK|THINK|UNDERSTAND|KNOW|IDEA,False
train,DRINK,DRINK2,P27,6275909006677276-DRINK 2.mp4,DRINK,0.44201928,True,DRINK|J|COMPANY|IF|ALSO,True
train,DRINK,DRINK1,P37,8114625026876388-DRINK.mp4,DRINK,0.78492856,True,DRINK|SEARCH|SEVENTEEN|EIGHTEEN|THROW,True
val,DRINK,DRINK2,P39,5470582351678035-DRINK 2.mp4,IF,0.04628322,False,IF|I|Y|DRINK|EIGHTEEN,True
val,DRINK,DRINK1,P21,8038145060553852-DRINK.mp4,WOMAN,0.0718295,False,WOMAN|THEIR|THROW|GOODBYE|TAKE,False
test,DRINK,DRINK1,P49,4266956774131161-DRINK.mp4,DRINK,0.07296053,True,DRINK|SEARCH|CHILD|SIGN|THEIR,True
test,DRINK,DRINK2,P47,6756383681583675-DRINK 2.mp4,YESTERDAY,0.07634154,False,YESTERDAY|WORKER|Y|ALSO|I,False
