candidate_rank,selected_candidate_100,normalized_gloss,popsign_gloss,citizen_raw_glosses,citizen_lex_codes,current_v16_glosses,in_current_v16,popsign_train_signers,popsign_val_signers,popsign_test_signers,citizen_train_signers,citizen_val_signers,citizen_test_signers,combined_train_signers,combined_val_signers,combined_test_signers,popsign_train_videos,popsign_val_videos,popsign_test_videos,citizen_train_videos,citizen_val_videos,citizen_test_videos,meets_20_5_5_combined,requires_variant_audit,coverage_score
22,True,HAPPY,happy,HAPPY,C_03_078,HAPPY,True,31,8,8,13,4,11,44,12,19,552,159,154,15,4,12,True,False,11595
23,True,MANY,many,MANY,D_03_065,MANY,True,31,8,8,13,4,11,44,12,19,546,160,153,13,6,12,True,False,11595
24,True,SAD,sad,SAD,B_02_053,SAD,True,31,7,8,14,4,10,45,11,18,546,134,154,14,4,12,True,False,11595
25,True,DIRTY,dirty,DIRTY,C_03_026,DIRTY,True,28,8,8,16,3,11,44,11,19,500,151,156,16,3,11,True,False,11590
26,True,DOWN,down,DOWN,G_03_055,DOWN,True,31,8,7,14,3,10,45,11,17,545,153,135,15,3,11,True,False,11590
27,True,LIKE,like,LIKE,F_03_063,LIKE,True,31,8,8,13,3,11,44,11,19,528,151,151,15,3,12,True,False,11590
28,True,HIGH,high,HIGH,C_02_045,HIGH,True,31,8,8,12,4,11,43,12,19,573,148,153,12,4,13,True,False,11585
29,True,HOT,hot,HOT,F_02_093,HOT,True,31,7,8,13,3,11,44,10,19,512,132,146,16,4,11,True,False,11585
30,True,OLD,old,OLD,D_01_007,OLD,True,30,8,8,13,4,11,43,12,19,544,155,148,13,4,13,True,False,11585
31,True,ON,on,ON,E_03_004,ON,True,30,8,8,14,3,10,44,11,18,479,126,135,16,3,11,True,False,11585
32,True,SLEEP,sleep,SLEEP,B_03_037,SLEEP,True,30,8,8,13,4,11,43,12,19,549,153,157,13,5,12,True,False,11585
33,True,WAIT,wait,WAIT,B_02_016,WAIT,True,30,8,8,13,4,11,43,12,19,536,154,154,13,4,13,True,False,11585
34,True,YES,yes,YES,G_03_074,YES,True,31,8,8,13,3,10,44,11,18,549,144,158,15,5,10,True,False,11585
35,True,CLEAN,clean,CLEAN,E_03_082,CLEAN,True,29,7,8,14,4,11,43,11,19,462,125,154,15,4,12,True,False,11580
36,True,CUT,cut,CUT,E_02_046,CUT,True,29,8,8,14,3,11,43,11,19,479,132,152,16,3,12,True,False,11580
37,True,OPEN,open,OPEN,G_03_088,OPEN,True,29,8,8,13,3,11,42,11,19,510,141,150,15,4,12,True,False,11570
38,True,SEE,see,SEE,C_02_030,SEE,True,29,8,8,13,3,11,42,11,19,473,124,147,15,3,13,True,False,11570
39,True,IF,if,IF,G_03_017,IF,True,28,8,8,13,4,11,41,12,19,426,124,145,15,4,11,True,False,11565
40,True,AFTER,after,AFTER,B_02_030,AFTER,True,26,8,7,15,3,11,41,11,18,395,116,130,15,3,14,True,False,11555
41,True,CHILD,child,CHILD,F_03_101,CHILD,True,28,7,7,14,3,10,42,10,17,459,132,117,16,5,10,True,False,11555
42,True,LOUD,loud,LOUD,D_02_007,LOUD,True,27,6,8,13,4,11,40,10,19,410,82,135,13,5,13,True,False,11545
43,True,BECAUSE,because,BECAUSE,B_01_049,BECAUSE,True,27,5,7,14,3,11,41,8,18,450,76,119,14,3,15,True,False,11540
44,True,CLOSE,close,CLOSE,G_03_084,CLOSE,True,23,7,7,16,3,11,39,10,18,235,87,101,17,4,11,True,False,11530
45,True,GIVE,give,GIVE,F_01_023,GIVE,True,25,6,7,14,3,11,39,9,18,303,85,111,15,4,11,True,False,11525
46,True,HEAR,hear,HEAR1|HEAR2,E_01_097|J_02_006,HEAR,True,25,6,7,14,3,11,39,9,18,319,78,95,29,8,23,True,True,11525
47,True,ROOM,room,ROOM,A_01_024,ROOM,True,25,4,7,14,4,11,39,8,18,344,82,124,15,4,11,True,False,11520
48,True,WATER,water,WATER,A_02_031,WATER,True,24,5,8,14,4,11,38,9,19,393,93,150,14,4,12,True,False,11520
49,True,WHY,why,WHY,D_01_067,WHY,True,23,7,7,14,4,11,37,11,18,262,108,82,14,4,14,True,False,11515
50,True,YESTERDAY,yesterday,YESTERDAY,D_01_024,YESTERDAY,True,24,4,4,16,3,11,40,7,15,387,63,53,16,3,11,True,False,11510
51,True,ALL,all,ALL,C_03_088,ALL,True,23,7,6,14,3,11,37,10,17,291,96,108,15,3,13,True,False,11505
52,True,BROTHER,brother,BROTHER,B_01_065,BROTHER,True,24,5,4,15,3,11,39,8,15,291,76,58,16,3,13,True,False,11505
53,True,GO,go,GO,C_03_056,GO,True,23,7,6,14,3,11,37,10,17,263,87,94,15,3,13,True,False,11505
54,True,FAST,fast,FAST,C_03_016,FAST,True,21,7,7,13,3,11,34,10,18,331,93,112,16,3,12,True,False,11480
55,True,BEFORE,before,BEFORE,G_02_053,BEFORE,True,20,7,4,13,5,11,33,12,15,289,93,75,14,5,11,True,False,11465
56,True,BAD,bad,BAD,B_02_082,BAD,True,17,2,8,13,4,11,30,6,19,290,38,148,13,4,13,True,False,11425
57,True,THINK,think,THINK,C_03_053,THINK,True,15,3,5,13,3,11,28,6,16,149,34,77,16,3,12,True,False,11390
58,True,JACKET,jacket,JACKET1|JACKET2|JACKET3|JACKET4,C_02_008|K_01_116|K_02_079|K_03_053,,False,30,7,8,21,4,11,51,11,19,470,119,155,58,15,48,True,True,1650
59,True,TOY,toy,TOY1|TOY2|TOY3,E_01_064|H_03_070|J_01_056,,False,30,7,8,20,4,11,50,11,19,496,139,151,45,11,36,True,True,1650
60,True,MILK,milk,MILK1|MILK2,A_01_051|K_03_070,,False,31,8,8,18,4,11,49,12,19,563,152,153,31,7,23,True,True,1645
61,True,RIDE,ride,RIDE1|RIDE2,F_03_023|J_03_026,,False,31,8,8,18,3,11,49,11,19,507,158,156,30,7,24,True,True,1640
62,True,BED,bed,BED1|BED2,A_03_037|K_03_004,,False,30,8,8,18,4,11,48,12,19,445,135,157,30,7,25,True,True,1635
63,True,DUCK,duck,DUCK1|DUCK2,D_01_079|K_02_068,,False,30,6,7,20,3,11,50,9,18,520,101,135,31,6,23,True,True,1635
64,True,HAIR,hair,HAIR1|HAIR2,A_02_056|K_02_053,,False,31,6,8,18,4,11,49,10,19,544,118,154,28,10,20,True,True,1635
65,True,TALK,talk,TALK1|TALK2,C_01_008|H_01_023,,False,31,8,8,17,4,11,48,12,19,493,154,155,28,7,27,True,True,1635
66,True,CAT,cat,CAT1|CAT2|CAT3,A_01_023|K_02_047|K_03_087,,False,28,8,8,19,5,11,47,13,19,491,156,135,44,11,35,True,True,1630
67,True,APPLE,apple,APPLE,A_03_054,,False,31,8,8,16,4,11,47,12,19,459,100,151,17,4,11,True,False,1625
68,True,LATER,later,LATER,D_01_077,,False,31,8,8,16,4,11,47,12,19,556,158,150,16,4,12,True,False,1625
69,True,BOAT,boat,BOAT,D_01_055,,False,31,8,8,16,3,11,47,11,19,543,159,156,16,3,11,True,False,1620
70,True,CUTE,cute,CUTE1|CUTE2,B_03_087|C_01_045,,False,31,8,8,15,5,11,46,13,19,564,158,150,29,8,25,True,True,1620
71,True,MOUTH,mouth,MOUTH,C_02_087,,False,31,8,8,16,3,11,47,11,19,549,151,152,17,3,11,True,False,1620
72,True,NOSE,nose,NOSE,G_03_075,,False,31,8,8,16,3,11,47,11,19,573,158,147,16,3,12,True,False,1620
73,True,SHIRT,shirt,SHIRT1|SHIRT2,A_01_028|K_01_108,,False,29,7,8,18,4,11,47,11,19,466,133,147,29,7,26,True,True,1620
74,True,BLOW,blow,BLOW,E_02_096,,False,31,8,8,15,4,11,46,12,19,484,145,152,15,4,12,True,False,1615
75,True,GIFT,gift,GIFT,E_01_055,,False,31,8,8,15,4,11,46,12,19,548,152,149,16,4,12,True,False,1615
76,True,HUNGRY,hungry,HUNGRY,C_01_010,,False,31,8,8,15,4,11,46,12,19,583,150,152,15,4,12,True,False,1615
77,True,SNOW,snow,SNOW1|SNOW2,A_01_057|K_03_081,,False,28,8,8,18,4,11,46,12,19,412,129,146,28,7,24,True,True,1615
78,True,DANCE,dance,DANCE,B_02_063,,False,31,8,8,15,3,11,46,11,19,562,156,155,15,3,14,True,False,1610
79,True,DROP,drop,DROP,C_03_052,,False,31,8,8,15,3,11,46,11,19,552,159,153,15,3,12,True,False,1610
80,True,FINISH,finish,FINISH,B_03_025,,False,31,8,8,15,3,11,46,11,19,524,121,147,15,3,14,True,False,1610
81,True,YOURSELF,yourself,YOURSELF,E_02_081,,False,31,8,8,15,3,11,46,11,19,576,159,152,16,4,11,True,False,1610
82,True,ZIPPER,zipper,ZIPPER,D_01_034,,False,30,8,8,16,3,11,46,11,19,537,142,143,16,3,11,True,False,1610
83,True,BIRD,bird,BIRD,A_01_041,,False,31,8,8,14,4,11,45,12,19,561,152,149,14,4,13,True,False,1605
84,True,BOY,boy,BOY,B_02_090,,False,31,8,8,14,4,11,45,12,19,558,154,149,14,6,12,True,False,1605
85,True,FRENCHFRIES,frenchfries,FRENCHFRIES,A_01_085,,False,31,8,8,14,4,11,45,12,19,572,153,155,14,4,13,True,False,1605
86,True,GREEN,green,GREEN,B_02_085,,False,31,8,8,14,4,11,45,12,19,452,145,150,14,4,14,True,False,1605
87,True,HAVE,have,HAVE,B_03_057,,False,31,8,8,14,4,11,45,12,19,562,153,149,14,4,12,True,False,1605
88,True,HOME,home,HOME,B_03_063,,False,31,8,8,14,4,11,45,12,19,509,144,155,14,4,13,True,False,1605
89,True,LION,lion,LION,A_03_012,,False,31,8,8,14,4,11,45,12,19,558,153,153,14,4,13,True,False,1605
90,True,MAKE,make,MAKE,C_01_032,,False,31,8,8,14,4,11,45,12,19,565,155,154,14,4,13,True,False,1605
91,True,ORANGE,orange,ORANGE,A_02_020,,False,31,8,8,14,4,11,45,12,19,566,152,144,14,4,13,True,False,1605
92,True,QUIET,quiet,QUIET,C_01_037,,False,31,8,8,14,4,11,45,12,19,515,147,155,15,4,12,True,False,1605
93,True,RED,red,RED,C_02_090,,False,31,8,8,14,4,11,45,12,19,546,135,135,14,4,14,True,False,1605
94,True,SAME,same,SAME1|SAME2,B_02_009|B_02_013,,False,29,8,8,16,4,11,45,12,19,465,120,149,27,7,28,True,True,1605
95,True,SCISSORS,scissors,SCISSORS,A_01_038,,False,31,8,8,14,4,11,45,12,19,572,158,158,14,4,13,True,False,1605
96,True,SICK,sick,SICK,B_01_072,,False,31,8,8,14,4,11,45,12,19,546,149,149,14,4,13,True,False,1605
97,True,TABLE,table,TABLE,A_03_025,,False,31,8,8,14,4,11,45,12,19,569,152,153,15,4,11,True,False,1605
98,True,THAT,that,THAT,C_03_059,,False,31,8,8,14,4,11,45,12,19,575,154,152,14,4,14,True,False,1605
99,True,TIGER,tiger,TIGER,A_01_050,,False,31,8,8,14,4,11,45,12,19,558,148,155,14,5,12,True,False,1605
100,True,WOLF,wolf,WOLF,A_01_049,,False,31,8,8,14,4,11,45,12,19,567,155,157,14,4,13,True,False,1605
,False,ANIMAL,animal,ANIMAL,B_03_002,,False,31,8,7,14,4,11,45,12,18,542,149,134,14,4,13,True,False,1600
,False,BATH,bath,BATH,B_01_019,,False,31,8,8,14,3,11,45,11,19,543,153,152,14,3,15,True,False,1600
,False,CLOWN,clown,CLOWN,A_03_026,,False,30,8,8,15,3,11,45,11,19,549,137,153,15,3,13,True,False,1600
,False,DOLL,doll,DOLL,C_02_049,,False,31,8,8,14,3,11,45,11,19,570,147,151,15,3,11,True,False,1600
,False,FLOWER,flower,FLOWER,A_03_017,,False,30,8,8,15,3,11,45,11,19,553,154,154,15,3,13,True,False,1600
,False,GIRL,girl,GIRL,C_03_073,,False,29,8,8,16,3,11,45,11,19,495,132,153,16,3,11,True,False,1600
,False,PRETTY,pretty,PRETTY,C_01_022,,False,31,8,7,14,4,11,45,12,18,564,158,132,14,4,12,True,False,1600
,False,RAIN,rain,RAIN,A_03_061,,False,31,8,8,14,3,11,45,11,19,557,159,155,14,3,15,True,False,1600
,False,STUCK,stuck,STUCK,E_01_019,,False,31,8,8,14,3,11,45,11,19,564,155,147,15,4,11,True,False,1600
,False,AUNT,aunt,AUNT,E_02_027,,False,31,7,7,14,4,11,45,11,18,487,118,135,15,4,12,True,False,1595
,False,BROWN,brown,BROWN,D_03_045,,False,31,8,8,13,4,11,44,12,19,538,143,148,13,5,12,True,False,1595
,False,BUG,bug,BUG,B_01_067,,False,31,8,8,13,4,11,44,12,19,525,158,153,13,4,13,True,False,1595
,False,FIRST,first,FIRST,C_01_033,,False,30,8,8,14,4,11,44,12,19,523,155,154,14,4,13,True,False,1595
,False,GIRAFFE,giraffe,GIRAFFE,A_03_049,,False,29,8,8,15,4,11,44,12,19,512,153,147,15,4,12,True,False,1595
,False,GRASS,grass,GRASS,A_03_031,,False,30,8,8,14,4,11,44,12,19,555,148,150,14,4,13,True,False,1595
,False,HORSE,horse,HORSE,A_01_029,,False,31,8,8,13,4,11,44,12,19,563,157,155,14,4,11,True,False,1595
,False,MOON,moon,MOON,A_01_036,,False,31,8,8,13,4,11,44,12,19,560,149,153,14,4,11,True,False,1595
,False,MOUSE,mouse,MOUSE,A_03_009,,False,30,8,8,14,4,11,44,12,19,561,158,157,14,4,13,True,False,1595
,False,BETTER,better,BETTER,F_01_062,,False,31,8,8,13,3,11,44,11,19,562,154,154,14,3,14,True,False,1590
,False,CHOCOLATE,chocolate,CHOCOLATE,B_01_002,,False,31,6,8,14,3,11,45,9,19,550,115,155,14,3,15,True,False,1590
,False,CLOUD,cloud,CLOUD1|CLOUD2|CLOUD3|CLOUD4,A_01_077|D_01_092|K_02_071|K_03_059,,False,22,8,8,21,5,11,43,13,19,364,149,155,56,14,49,True,True,1590
,False,DRY,dry,DRY,F_03_005,,False,31,8,8,13,3,11,44,11,19,552,158,159,15,3,12,True,False,1590
,False,FINE,fine,FINE1|FINE2,C_01_043|D_02_067,,False,27,8,7,17,4,11,44,12,18,335,131,132,31,7,24,True,True,1590
,False,FIREMAN,fireman,FIREMAN1|FIREMAN2,A_02_039|K_03_052,,False,25,8,8,19,3,11,44,11,19,379,131,139,28,6,26,True,True,1590
,False,HATE,hate,HATE,F_02_078,,False,31,8,8,13,3,11,44,11,19,536,150,135,16,4,11,True,False,1590
,False,HELICOPTER,helicopter,HELICOPTER1|HELICOPTER2|HELICOPTER3,D_02_042|K_02_004|K_03_063,,False,26,4,4,22,3,11,48,7,15,393,62,76,46,10,34,True,True,1590
,False,LIPS,lips,LIPS,G_02_043,,False,31,8,8,13,3,11,44,11,19,521,133,155,14,4,12,True,False,1590
,False,PENCIL,pencil,PENCIL,A_02_053,,False,30,8,7,14,4,11,44,12,18,385,111,102,14,5,12,True,False,1590
,False,STAY,stay,STAY,F_02_050,,False,31,8,8,13,3,11,44,11,19,559,156,152,14,4,12,True,False,1590
,False,THIRSTY,thirsty,THIRSTY,C_03_071,,False,31,8,8,13,3,11,44,11,19,565,152,151,14,3,12,True,False,1590
,False,TOUCH,touch,TOUCH,G_03_063,,False,30,8,8,14,3,11,44,11,19,546,150,152,16,3,11,True,False,1590
,False,TV,TV,TV,C_02_038,,False,30,8,8,14,3,11,44,11,19,509,147,139,15,3,11,True,False,1590
,False,WET,wet,WET,B_02_065,,False,31,8,7,13,4,11,44,12,18,565,157,131,13,4,13,True,False,1590
,False,AWAKE,awake,AWAKE,G_01_078,,False,31,8,8,12,4,11,43,12,19,507,157,144,13,4,14,True,False,1585
,False,DRAWER,drawer,DRAWER,A_01_082,,False,29,8,8,14,4,11,43,12,19,480,139,137,14,5,12,True,False,1585
,False,GUM,gum,GUM,G_02_010,,False,31,8,8,12,4,11,43,12,19,555,149,154,14,4,12,True,False,1585
,False,HAT,hat,HAT1|HAT2,A_02_045|K_03_099,,False,28,8,7,16,3,11,44,11,18,492,146,132,29,6,26,True,True,1585
,False,STAIRS,stairs,STAIRS,A_03_048,,False,30,7,8,14,3,11,44,10,19,447,137,154,14,3,14,True,False,1585
,False,TREE,tree,TREE,A_01_002,,False,31,8,8,12,4,11,43,12,19,575,154,155,12,4,13,True,False,1585
,False,BLUE,blue,BLUE,C_02_062,,False,30,8,8,13,3,11,43,11,19,457,133,145,15,3,13,True,False,1580
,False,COW,cow,COW,A_01_033,,False,31,5,8,13,4,11,44,9,19,527,87,144,13,5,12,True,False,1580
,False,CRY,cry,CRY1|CRY2|CRY3|CRY4,B_03_028|K_01_003|K_02_040|K_03_060,,False,27,5,8,17,4,11,44,9,19,388,71,154,60,14,49,True,True,1580
,False,FACE,face,FACE,E_01_053,,False,30,7,7,14,3,11,44,10,18,537,123,118,16,3,12,True,False,1580
,False,OWL,owl,OWL,D_01_087,,False,31,7,8,12,4,11,43,11,19,543,134,150,12,5,12,True,False,1580
,False,WHITE,white,WHITE,E_03_046,,False,30,7,8,13,4,11,43,11,19,536,142,158,14,5,11,True,False,1580
,False,YELLOW,yellow,YELLOW,D_01_020,,False,30,8,8,13,3,11,43,11,19,529,149,152,16,3,12,True,False,1580
,False,COWBOY,cowboy,COWBOY,F_01_018,,False,29,8,7,14,3,11,43,11,18,500,139,133,15,4,11,True,False,1575
,False,FLAG,flag,FLAG1|FLAG2,B_01_036|G_02_092,,False,23,8,8,19,4,11,42,12,19,375,65,149,29,9,21,True,True,1575
,False,STICKY,sticky,STICKY,F_02_089,,False,29,6,8,14,4,11,43,10,19,460,79,151,16,4,12,True,False,1575
,False,TASTE,taste,TASTE,J_01_081,,False,30,8,8,12,4,11,42,12,19,564,159,150,13,4,12,True,False,1575
,False,WILL,will,WILL,F_03_025,,False,30,7,8,13,3,11,43,10,19,515,135,155,15,3,12,True,False,1575
,False,ANY,any,ANY,G_01_016,,False,29,7,8,13,4,11,42,11,19,489,129,147,15,4,12,True,False,1570
,False,DONKEY,donkey,DONKEY,J_01_012,,False,30,8,7,13,3,10,43,11,17,514,154,127,14,4,12,True,False,1570
,False,FROG,frog,FROG,D_03_059,,False,30,8,8,12,3,11,42,11,19,549,157,145,15,4,12,True,False,1570
,False,UNCLE,uncle,UNCLE,D_02_011,,False,27,8,8,15,3,11,42,11,19,486,139,150,17,3,11,True,False,1570
,False,VACUUM,vacuum,VACUUM,D_03_084,,False,29,8,8,13,3,11,42,11,19,491,132,151,16,3,12,True,False,1570
,False,BYE,bye,BYE,E_01_058,,False,29,7,8,13,3,11,42,10,19,463,102,127,15,3,12,True,False,1565
,False,KISS,kiss,KISS1|KISS2|KISS3,D_02_014|E_03_088|K_01_005,,False,23,5,7,20,4,11,43,9,18,347,81,130,46,11,34,True,True,1565
,False,MAD,mad,MAD,F_01_084,,False,30,5,8,13,3,11,43,8,19,437,46,139,14,4,12,True,False,1565
,False,PERSON,person,PERSON,B_01_066,,False,28,6,7,15,3,11,43,9,18,395,89,116,15,3,14,True,False,1565
,False,SUN,sun,SUN,C_02_003,,False,30,7,7,12,4,11,42,11,18,521,130,133,12,4,13,True,False,1565
,False,FARM,farm,FARM,B_01_086,,False,27,6,8,15,3,11,42,9,19,412,117,151,15,3,14,True,False,1560
,False,TOOTHBRUSH,toothbrush,TOOTHBRUSH,D_03_073,,False,27,6,8,15,3,11,42,9,19,473,114,103,16,3,11,True,False,1560
,False,ARM,arm,ARM1|ARM2|ARM3,C_03_043|K_01_095|K_02_002,,False,22,4,7,20,5,11,42,9,18,300,39,89,41,11,39,True,True,1555
,False,PENNY,penny,PENNY,D_01_049,,False,25,8,7,16,3,11,41,11,18,382,150,134,17,3,11,True,False,1555
,False,RADIO,radio,RADIO,A_01_075,,False,27,7,7,14,4,11,41,11,18,466,112,134,14,4,13,True,False,1555
,False,SMILE,smile,SMILE1|SMILE2,D_01_031|K_03_023,,False,23,7,7,18,4,11,41,11,18,360,90,98,30,7,24,True,True,1555
,False,UNDERWEAR,underwear,UNDERWEAR1|UNDERWEAR2,A_03_023|K_02_112,,False,23,6,8,18,4,11,41,10,19,329,100,158,30,7,24,True,True,1555
,False,ELEPHANT,elephant,ELEPHANT,A_02_059,,False,26,8,7,13,4,11,39,12,18,459,128,129,14,4,12,True,False,1540
,False,JUMP,jump,JUMP,C_02_089,,False,26,8,8,13,3,11,39,11,19,467,123,153,16,3,12,True,False,1540
,False,BEDROOM,bedroom,BEDROOM,D_01_056,,False,27,6,6,13,4,11,40,10,17,397,106,111,14,4,12,True,False,1535
,False,BLACK,black,BLACK,B_02_006,,False,25,5,7,15,4,11,40,9,18,382,91,102,15,4,12,True,False,1535
,False,CLOSET,closet,CLOSET1|CLOSET2,E_01_091|F_03_097,,False,23,5,8,16,5,11,39,10,19,300,85,153,28,9,24,True,True,1535
,False,FINGER,finger,FINGER,G_02_097,,False,27,7,7,13,3,10,40,10,17,303,127,128,14,4,12,True,False,1535
,False,PIZZA,pizza,PIZZA1|PIZZA2,E_02_085|G_01_013,,False,22,6,6,18,4,11,40,10,17,313,88,109,31,7,24,True,True,1535
,False,CHAIR,chair,CHAIR,A_01_017,,False,25,7,6,14,4,11,39,11,17,399,130,78,14,4,12,True,False,1530
,False,PRETEND,pretend,PRETEND,D_03_062,,False,24,7,7,15,3,11,39,10,18,416,126,130,16,3,12,True,False,1530
,False,CARROT,carrot,CARROT1|CARROT2|CARROT3,A_02_083|K_01_105|K_03_075,,False,20,6,4,20,4,11,40,10,15,284,98,72,43,10,36,True,True,1525
,False,HEAD,head,HEAD,E_03_044,,False,24,4,8,15,3,11,39,7,19,358,81,157,16,4,11,True,False,1520
,False,HEN,hen,HEN,G_02_041,,False,23,7,8,14,4,11,37,11,19,379,131,153,15,4,12,True,False,1520
,False,HIDE,hide,HIDE,G_02_025,,False,24,3,8,15,4,11,39,7,19,357,58,149,15,4,12,True,False,1520
,False,YUCKY,yucky,YUCKY,E_01_011,,False,25,5,7,14,3,11,39,8,18,355,68,136,16,3,12,True,False,1520
,False,DOG,dog,DOG1|DOG2|DOG3|DOG4,A_01_056|H_02_103|J_02_068|K_01_055,,False,18,5,1,23,4,11,41,9,12,153,94,19,62,13,48,True,True,1515
,False,PEN,pen,PEN,E_02_097,,False,22,6,8,15,4,11,37,10,19,264,83,160,15,4,12,True,False,1515
,False,PIG,pig,PIG,A_02_032,,False,22,8,8,15,3,10,37,11,18,309,148,153,15,3,12,True,False,1515
,False,CHEEK,cheek,CHEEK,G_03_052,,False,23,3,7,16,3,11,39,6,18,325,47,115,17,4,11,True,False,1510
,False,FISH,fish,FISH,A_03_040,,False,24,4,7,14,4,11,38,8,18,328,72,110,14,4,13,True,False,1510
,False,STORY,story,STORY1|STORY2|STORY3,E_01_015|H_03_007|J_01_007,,False,18,6,4,20,3,11,38,9,15,273,81,60,46,10,36,True,True,1500
,False,BALLOON,balloon,BALLOON,A_02_086,,False,22,5,7,14,4,11,36,9,18,408,88,92,14,4,13,True,False,1495
,False,BEE,bee,BEE1|BEE2,E_03_018|J_02_101,,False,18,6,6,17,5,11,35,11,17,258,79,105,28,10,22,True,True,1490
,False,BACKYARD,backyard,BACKYARD,F_03_003,,False,24,2,7,13,3,11,37,5,18,337,37,113,14,4,12,True,False,1485
,False,OUTSIDE,outside,OUTSIDE,E_03_071,,False,22,5,7,13,3,11,35,8,18,339,78,127,15,3,12,True,False,1480
,False,EAR,ear,EAR,D_02_071,,False,20,6,7,14,3,11,34,9,18,237,77,111,16,3,11,True,False,1475
,False,NAPKIN,napkin,NAPKIN,A_03_019,,False,19,4,8,15,4,11,34,8,19,289,78,147,15,4,12,True,False,1475
,False,DRYER,dryer,DRYER,C_01_007,,False,18,6,7,14,4,11,32,10,18,227,95,108,14,4,13,True,False,1460
,False,THERE,there,THERE,D_02_060,,False,20,2,7,14,4,11,34,6,18,299,41,66,14,4,12,True,False,1460
,False,AIRPLANE,airplane,AIRPLANE,D_03_068,,False,19,3,8,12,4,11,31,7,19,255,36,151,12,5,13,True,False,1440
,False,ZEBRA,zebra,ZEBRA,G_02_003,,False,16,2,8,16,4,10,32,6,18,266,42,157,17,4,10,True,False,1440
,False,CAR,car,CAR,D_02_043,,False,17,2,7,15,3,11,32,5,18,249,40,119,15,3,11,True,False,1435
,False,CEREAL,cereal,CEREAL,A_02_014,,False,16,6,6,14,4,11,30,10,17,245,103,109,15,4,11,True,False,1435
,False,ICECREAM,icecream,ICECREAM,A_02_013,,False,17,2,8,14,3,11,31,5,19,291,40,148,14,3,14,True,False,1430
,False,REFRIGERATOR,refrigerator,REFRIGERATOR,G_01_001,,False,17,4,6,13,3,11,30,7,17,241,61,90,14,4,12,True,False,1420
