source,split_role,signer_id,source_collection,utterance_video_filename,utterance_video_url,span_index_in_utterance,target_sequence,target_variants,target_token_count,utterance_start_frame_global,utterance_end_frame_global,span_start_frame_global,span_end_frame_global,crop_start_frame_local,crop_end_frame_local,context_frames_each_side
asllrp,train_candidate,CORY,Cory_2013-6-27_sc113,631165.mp4,https://dai.cs.rutgers.edu/ss3front/631165.mp4,0,"[""WHEN"",""FRIEND""]","[""WHEN"",""FRIEND""]",2,12796,12918,12811,12832,10,41,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc113,632150.mp4,https://dai.cs.rutgers.edu/ss3front/632150.mp4,0,"[""WHEN"",""FRIEND""]","[""WHEN"",""FRIEND""]",2,8410,8586,8439,8469,24,64,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc113,633534.mp4,https://dai.cs.rutgers.edu/ss3front/633534.mp4,0,"[""WORK"",""WHERE""]","[""WORK"",""WHERE""]",2,5179,5249,5200,5238,16,64,5
asllrp,train_candidate,BENJAMIN_JAMES_BAHAN,5-Ben-Deaf-Grunts,64008821.mp4,https://dai.cs.rutgers.edu/ss3front/64008821.mp4,0,"[""TALK"",""THINK""]","[""TALK"",""THINK""]",2,2733,3066,2842,2851,104,123,5
asllrp,train_candidate,RACHEL,Rachel_2012-02-09_sc59,7028838.mp4,https://dai.cs.rutgers.edu/ss3front/7028838.mp4,0,"[""FAMILY"",""IMPORTANT""]","[""FAMILY"",""IMPORTANT""]",2,226,332,256,279,25,58,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc107,7118.mp4,https://dai.cs.rutgers.edu/ss3front/7118.mp4,0,"[""MAYBE"",""READ""]","[""MAYBE"",""READ""]",2,3443,3568,3522,3540,74,102,5
asllrp,train_candidate,JONATHAN,Jonathan_2012-11-27_sc92,7345233.mp4,https://dai.cs.rutgers.edu/ss3front/7345233.mp4,0,"[""FRIEND"",""MAYBE""]","[""FRIEND"",""MAYBE""]",2,6987,7175,7089,7132,97,150,5
asllrp,train_candidate,RACHEL,Rachel_2012-02-14_sc63,7565915.mp4,https://dai.cs.rutgers.edu/ss3front/7565915.mp4,0,"[""MAYBE"",""TOMORROW""]","[""MAYBE"",""TOMORROW""]",2,2018,2086,2024,2040,1,27,5
asllrp,train_candidate,RACHEL,Rachel_2012-02-14_sc63,7567841.mp4,https://dai.cs.rutgers.edu/ss3front/7567841.mp4,0,"[""DIFFERENT"",""NOW""]","[""DIFFERENT"",""NOW""]",2,7839,7923,7867,7877,23,43,5
asllrp,train_candidate,RACHEL,Rachel_2012-02-14_sc63,7569567.mp4,https://dai.cs.rutgers.edu/ss3front/7569567.mp4,0,"[""TIME"",""NOW""]","[""TIME"",""NOW""]",2,13359,13527,13409,13423,45,69,5
asllrp,train_candidate,RACHEL,Rachel_2012-01-27_sc55,7578507.mp4,https://dai.cs.rutgers.edu/ss3front/7578507.mp4,0,"[""LIKE"",""HOT""]","[""LIKE"",""HOT""]",2,4,144,36,52,27,53,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc107,7624.mp4,https://dai.cs.rutgers.edu/ss3front/7624.mp4,0,"[""HAVE"",""TIME""]","[""HAVE"",""TIME""]",2,4914,5053,4952,4969,33,60,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc114,7981786.mp4,https://dai.cs.rutgers.edu/ss3front/7981786.mp4,0,"[""FRIEND"",""THINK""]","[""FRIEND"",""THINK""]",2,15811,15899,15828,15849,12,43,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc114,7987015.mp4,https://dai.cs.rutgers.edu/ss3front/7987015.mp4,0,"[""WATER"",""COLD""]","[""WATER"",""COLD""]",2,1589,1665,1599,1627,5,43,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc112,83937096.mp4,https://dai.cs.rutgers.edu/ss3front/83937096.mp4,0,"[""NIGHT"",""WHY""]","[""NIGHT"",""WHY""]",2,20406,20580,20476,20499,65,98,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc112,83937293.mp4,https://dai.cs.rutgers.edu/ss3front/83937293.mp4,0,"[""NOW"",""WHY""]","[""NOW"",""WHY""]",2,19801,19917,19851,19875,45,79,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc112,83938283.mp4,https://dai.cs.rutgers.edu/ss3front/83938283.mp4,0,"[""WHEN"",""FRIEND""]","[""WHEN"",""FRIEND""]",2,16718,16952,16734,16752,11,39,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc112,83940451.mp4,https://dai.cs.rutgers.edu/ss3front/83940451.mp4,0,"[""HOME"",""WHEN""]","[""HOME"",""WHEN""]",2,8996,9099,9051,9076,50,85,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc112,83940550.mp4,https://dai.cs.rutgers.edu/ss3front/83940550.mp4,0,"[""HOME"",""WHEN""]","[""HOME"",""WHEN""]",2,8784,8876,8832,8854,43,75,5
asllrp,train_candidate,CORY,Cory_2013-6-27_sc112,83940649.mp4,https://dai.cs.rutgers.edu/ss3front/83940649.mp4,0,"[""HOME"",""WHEN""]","[""HOME"",""WHEN""]",2,8572,8686,8620,8654,43,87,5
asllrp,train_candidate,JONATHAN,Jonathan_2012-11-27_sc94,841111.mp4,https://dai.cs.rutgers.edu/ss3front/841111.mp4,0,"[""FRIEND"",""NOW""]","[""FRIEND"",""NOW""]",2,732,814,741,754,4,27,5
asllrp,train_candidate,JONATHAN,Jonathan_2012-11-27_sc94,841314.mp4,https://dai.cs.rutgers.edu/ss3front/841314.mp4,0,"[""FRIEND"",""NOW""]","[""FRIEND"",""NOW""]",2,1283,1371,1290,1307,2,29,5
asllrp,train_candidate,JONATHAN,Jonathan_2012-11-27_sc94,841415.mp4,https://dai.cs.rutgers.edu/ss3front/841415.mp4,0,"[""FRIEND"",""NOW""]","[""FRIEND"",""NOW""]",2,1465,1561,1473,1487,3,27,5
asllrp,train_candidate,JONATHAN,Jonathan_2012-11-27_sc94,841516.mp4,https://dai.cs.rutgers.edu/ss3front/841516.mp4,0,"[""FRIEND"",""NOW""]","[""FRIEND"",""NOW""]",2,1665,1781,1684,1702,14,42,5
asllrp,train_candidate,JONATHAN,Jonathan_2012-11-27_sc94,842935.mp4,https://dai.cs.rutgers.edu/ss3front/842935.mp4,0,"[""WORK"",""WHERE""]","[""WORK"",""WHERE""]",2,5233,5319,5258,5291,20,63,5
asllrp,train_candidate,BENJAMIN_JAMES_BAHAN,7-Ben-Social-Msg,91055614.mp4,https://dai.cs.rutgers.edu/ss3front/91055614.mp4,0,"[""MAYBE"",""ANGRY""]","[""MAYBE"",""ANGRY""]",2,4608,4724,4700,4723,87,116,5
asllrp,train_candidate,RACHEL,Rachel_2012-02-09_sc58,97996849.mp4,https://dai.cs.rutgers.edu/ss3front/97996849.mp4,0,"[""LIKE"",""MAYBE""]","[""LIKE"",""MAYBE""]",2,7857,7957,7870,7894,8,42,5
asllrp,train_candidate,RACHEL,Rachel_2012-02-09_sc58,97997440.mp4,https://dai.cs.rutgers.edu/ss3front/97997440.mp4,0,"[""TIRED"",""TIRED""]","[""TIRED"",""TIRED""]",2,6106,6176,6122,6143,11,42,5
asllrp,train_candidate,CORY,Cory_2013-6-25_sc0106,99370717.mp4,https://dai.cs.rutgers.edu/ss3front/99370717.mp4,0,"[""HOME"",""SCHOOL""]","[""HOME"",""SCHOOL""]",2,2052,2217,2166,2190,109,143,5
rit,external_evaluation_reserved,RIT_P02,RIT-P02-s02,11339961.mp4,https://dai.cs.rutgers.edu/ss3front/11339961.mp4,0,"[""DIFFERENT"",""HOW""]","[""DIFFERENT"",""HOW""]",2,13930,14045,13968,14009,33,84,5
rit,external_evaluation_reserved,RIT_P02,RIT-P02-s02,12481819.mp4,https://dai.cs.rutgers.edu/ss3front/12481819.mp4,0,"[""HAVE"",""MORE""]","[""HAVE"",""MORE""]",2,23543,24080,23743,23772,195,234,5
rit,external_evaluation_reserved,RIT_P03,RIT-P03_s01,1746653832008410389.mp4,https://dai.cs.rutgers.edu/ss3front/1746653832008410389.mp4,0,"[""MORE"",""NOW""]","[""MORE"",""NOW""]",2,15584,15746,15703,15722,114,143,5
rit,external_evaluation_reserved,RIT_P03,RIT-P03_s01,1746654272195460797.mp4,https://dai.cs.rutgers.edu/ss3front/1746654272195460797.mp4,0,"[""HOW"",""USE""]","[""HOW"",""USE""]",2,17984,18364,18318,18360,329,380,5
rit,external_evaluation_reserved,RIT_P03,RIT-P03_s01,1746726749193165638.mp4,https://dai.cs.rutgers.edu/ss3front/1746726749193165638.mp4,0,"[""HAVE"",""BAD""]","[""HAVE"",""BAD""]",2,26646,26879,26679,26729,28,88,5
rit,external_evaluation_reserved,RIT_P03,RIT-P03_s01,32297679.mp4,https://dai.cs.rutgers.edu/ss3front/32297679.mp4,0,"[""HOW"",""USE""]","[""HOW"",""USE""]",2,18570,18781,18645,18677,70,112,5
rit,external_evaluation_reserved,RIT_P03,RIT-P03_s01,32409218.mp4,https://dai.cs.rutgers.edu/ss3front/32409218.mp4,0,"[""LIKE"",""FEEL""]","[""LIKE"",""FEEL""]",2,21703,22000,21743,21835,35,137,5
rit,external_evaluation_reserved,RIT_P03,RIT-P03_s01,32476774.mp4,https://dai.cs.rutgers.edu/ss3front/32476774.mp4,0,"[""FEEL"",""FEEL""]","[""FEEL"",""FEEL""]",2,22453,22803,22510,22521,52,73,5
rit,external_evaluation_reserved,RIT_P02,RIT_P02-s01,70773037.mp4,https://dai.cs.rutgers.edu/ss3front/70773037.mp4,0,"[""LIKE"",""WORK""]","[""LIKE"",""WORK""]",2,9977,10228,10014,10043,32,71,5
rit,external_evaluation_reserved,RIT_P02,RIT_P02-s01,70773037.mp4,https://dai.cs.rutgers.edu/ss3front/70773037.mp4,1,"[""LIKE"",""WORK""]","[""LIKE"",""WORK""]",2,9977,10228,10126,10149,144,177,5
rit,external_evaluation_reserved,RIT_P02,RIT_P02-s01,71170104.mp4,https://dai.cs.rutgers.edu/ss3front/71170104.mp4,0,"[""LIKE"",""EAT""]","[""LIKE"",""EAT""]",2,12965,13773,13015,13054,45,94,5
rit,external_evaluation_reserved,RIT_P02,RIT_P02-s01,71170104.mp4,https://dai.cs.rutgers.edu/ss3front/71170104.mp4,1,"[""LIKE"",""EAT""]","[""LIKE"",""EAT""]",2,12965,13773,13561,13591,591,631,5
rit,external_evaluation_reserved,RIT_P02,RIT-P02_s03,86216564.mp4,https://dai.cs.rutgers.edu/ss3front/86216564.mp4,0,"[""SMALL"",""SCHOOL""]","[""SMALL"",""SCHOOL""]",2,21191,21740,21703,21739,507,549,5
rit,external_evaluation_reserved,RIT_P02,RIT-P02-s02,9834172.mp4,https://dai.cs.rutgers.edu/ss3front/9834172.mp4,0,"[""NOW"",""HAVE""]","[""NOW"",""HAVE""]",2,6258,6598,6304,6347,41,94,5
